scenario,num_docs,chunk_size,num_workers,duration_s,docs_per_s,cpu_mean,cpu_max,mem_peak_mb
baseline-threads,1000,1000,4,45.620718718000035,21.919865098605772,339.90718232044196,398.7,922.01953125
baseline-mp,1000,1000,4,57.869980724000015,17.28011634856614,1.8756756756756758,20.0,3524.28515625
modern-interpreters,1000,1000,4,69.071192279,14.477815815900344,1.4101724137931033,10.0,3525.9921875
baseline-threads,5000,1000,4,238.78577253800017,20.939270991132037,350.975871459695,413.8,927.83984375
baseline-mp,5000,1000,4,328.00345107399994,15.243742050969958,2.823578717201166,63.1,3452.01953125
modern-interpreters,5000,1000,4,353.218538717,14.155542396391652,2.813823119777159,71.4,3423.40625
baseline-threads,10000,1000,4,443.63959476699983,22.540819435316667,360.30792939198653,408.0,974.38671875
baseline-mp,10000,1000,4,623.9132938900002,16.02786813156615,4.494888973966309,95.5,3568.87890625
modern-interpreters,10000,1000,4,660.275456978,15.145194167550581,4.101244813278009,99.1,3576.01171875
